submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
25/06/2019,Beseni borehole,-15.6257309,35.5104587,100,https://api.mwater.co/v3/images/818741d38e29447c85b4f7dbc1bddfc1,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,NA,Other,Pump not working,https://api.mwater.co/v3/images/ebcead6503d54207b9d59ea369d290ab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pump not functioning since April 2019,NA,NA,NA,NA,NA,NA
29/11/2019,Beseni borehole,-15.6257309,35.5104587,452,https://api.mwater.co/v3/images/35b876810db34b45bca096cceb2a00c6; https://api.mwater.co/v3/images/273e5fe4ab0b4bfdb72944cc34c8ea54,No,NA,Local report not seeing the water point submerged,Not functional,NA,Other,Not working,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/02/2020,Beseni borehole,-15.6257309,35.5104587,150,https://api.mwater.co/v3/images/8d94c1061a604251ac5f9d9063248469,Yes,Local report seeing the water point submerged,NA,No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,Other,pump no longer working 2014,https://api.mwater.co/v3/images/3d3d9e436bd6470485ca88c49c78b47b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/11/2019,Demula borehole 3,-15.9643583,35.4777033,800,https://api.mwater.co/v3/images/645afb2556bb4df8aa2c1d57c7166a4c,NA,NA,NA,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,"Damage to pump head or handle, Missing pump head",NA,https://api.mwater.co/v3/images/4feba14b417c4073b15c50730b659b90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blank,NA,NA,NA,NA,NA
30/01/2020,Demula borehole 3,-15.9643583,35.4777033,900,https://api.mwater.co/v3/images/e2cc37dd1a214b4a9027a1e168a058cc; https://api.mwater.co/v3/images/13f38c90067442f2b9bf96ecd3d997c7; https://api.mwater.co/v3/images/f560ca09d69743a49c9657d3cf0a3455,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/41d85574bdd14ea18083dbce537b3091,NA,NA,NA,"Very light, Significant friction (very stiff) on down stroke",83.59,3,Present,287,?S / cm,0.13,7.36,2,0.05,0.4,0,5,ppb,5,NTU,25.8,C,6/12/2019 9:03,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/6e48fa829c27447e9ee5065e4ecc60fd
15/06/2019,Sadibwa   village,-15.8182964,35.5255082,250,https://api.mwater.co/v3/images/aa1a52b9c7b9421893383a843d09a6b6; https://api.mwater.co/v3/images/0b778aff5d064f43affd46e41326548b,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,82.041,2,Absent,401,?S / cm,0.19,7.25,1,0.15,1.4,0,5,ppb,5,NTU,26.8,C,6/12/2019 12:55,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/f6c31b3f8c904204a23515544ba7ad1e
22/12/2019,Sadibwa   village,-15.8182964,35.5255082,0,https://api.mwater.co/v3/images/8d6a0775da5a44eab5e7523dc649cfd5,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage or problem with pump, Other",Abandoned,NA,NA,NA,Missing pump head,NA,https://api.mwater.co/v3/images/dfad2e94b40b4019916af47b682da296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/2020,Sadibwa   village,-15.8182964,35.5255082,750,https://api.mwater.co/v3/images/44b0531c8f62425eb218c96e969af34f; https://api.mwater.co/v3/images/96ac6abf60e44b27b2ad1cb9215fe1a1; https://api.mwater.co/v3/images/71276914b82145459fa4482f4b084f5b,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/c708f5cc39804504be620e431fa356c5,"Very light, Significant sideways movement on handle (loose/wobbly)",75.46,13,Absent,132,?S / cm,0.06,7.01,2,0.05,1,0,5,ppb,5,NTU,25.6,C,6/12/2019 8:34,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/26c9814900574fa6a738556138556602
26/06/2019,Shaibu Water point 3,-15.8444883,35.4697467,689,https://api.mwater.co/v3/images/e79861c2dff04d8ba87316857ca467e9; https://api.mwater.co/v3/images/e70df33656d448ae8c2e722df016a2c9,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",52.592,2,Absent,174,?S / cm,0.08,7.2,2,2.8,6,0,5,ppb,5,NTU,25.4,C,6/12/2019 10:13,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/40d161f869804dcf8dfcc7faf79074b8
22/12/2019,Shaibu Water point 3,-15.8444883,35.4697467,2600,https://api.mwater.co/v3/images/21351465ba144d1baa5a3c552d962228; https://api.mwater.co/v3/images/2d1c368547c745d79e20a199e82de192; https://api.mwater.co/v3/images/1cf835513e6f4ba2b2c5ade69fcc4e67,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/55843bd806c847e5b79dcb098c2ec233,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",41.441,2,Absent,169.1,?S / cm,0.08,6.18,1.4,0.15,0.65,0,5,ppb,5,NTU,26,C,6/12/2019 11:46,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/04f7a7f03c4f4276bf99ab98eb3c4de1
06/02/2020,Shaibu Water point 3,-15.8444883,35.4697467,230,https://api.mwater.co/v3/images/baa536568e74436f903f98f7227ca731; https://api.mwater.co/v3/images/48f3d447cdb84f6498316a6ff49e7c6b,No,NA,Local report not seeing the water point submerged,Functional,Yes,"No problems , Other",No fence around the borehole.,NA,NA,NA,NA,NA,NA,Normal/satisfactory,55.94,1,Absent,2520,?S / cm,0.12,5.28,2,0.05,0.45,0,5,ppb,5,NTU,25.2,C,6/12/2019 13:08,The borehole is  ok and yielding more water.,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/cba2a5954f2e4d7b99e80fb901ca022e
26/06/2019,Shaibu Water point 1,-15.8456232,35.4779367,2300,https://api.mwater.co/v3/images/1f0afc23ecc846fe919087c89344a89b; https://api.mwater.co/v3/images/fa5e83844dd6477ca33d5735b1158ca6; https://api.mwater.co/v3/images/87bfcb25ac6547d1bd313fd8c8260fd6; https://api.mwater.co/v3/images/7b7b1d6861c54ce79f964cacf7c9a124; https://api.mwater.co/v3/images/ceaed008bd984af6bbc1824fd30079fd,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Leakage from pump/ pedestal",NA,NA,"Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged, Platform cracked or damaged",https://api.mwater.co/v3/images/6e6749993d5e495c8f05c63041e5fa72,Damage to pump head or handle,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on up stroke",81.29,3,Absent,4630,?S / cm,0.22,6.18,2,0.15,0.5,0,10,ppb,5,NTU,22.7,C,6/12/2019 14:48,The borehole committee members  report says the borehole takes more time to start yielding water in the morning.,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/95e0edc1543a4ffb870a18390a6790dc
22/12/2019,Shaibu Water point 1,-15.8456232,35.4779367,2000,https://api.mwater.co/v3/images/d01138562a8a41d99d0914f7a1e84b22; https://api.mwater.co/v3/images/b1192b1f0a6b46cfa4ce4cbd37c2a1c0,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/8989fd4c31fc4bc782a1e5c2ed88b0d5,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",78.36,3,Absent,701,?S / cm,0.34,7.2,1.2,1.6,0.1,0,5,ppb,5,NTU,28.5,C,6/12/2019 14:31,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/3147a8d4146f4e6f8b970d03a283d53b
06/02/2020,Shaibu Water point 1,-15.8456232,35.4779367,1500,https://api.mwater.co/v3/images/7160edd406c64ad0bbcfc18c3babb190; https://api.mwater.co/v3/images/eefe2ab0a22a430d964269894cb2f9c4,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/626a4fae743348ba9d23eae5fbbb73d7,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",101.22,9,Present,172,?S / cm,0.8,7.5,1,NA,4,0,5,ppb,10,NTU,22.6,C,6/12/2019 7:01,Ammonia result test is 0,Point of collection,6/12/2019,2.6,8.51,probably_safe,https://api.mwater.co/v3/images/aa5ea409c9b1430584ef92f0eb39db86
01/07/2019,N jete(likhonyowera )borehole  01,-15.975199,35.3140382,593,https://api.mwater.co/v3/images/e93b63f1c97c427291b3a052239eab6c; https://api.mwater.co/v3/images/0d8bd4b69fba46e4b7a409fa512a4d1d,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Very light,94.476,3,Absent,132.5,?S / cm,0.06,6.3,0.8,0.05,1.2,0,10,ppb,5,NTU,27.3,C,6/12/2019 11:33,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/58da28bd4f35413c92733a2531375bec
26/11/2019,N jete(likhonyowera )borehole  01,-15.975199,35.3140382,350,https://api.mwater.co/v3/images/45559f2c32f8491ea1cbf4bacf28d8c0; https://api.mwater.co/v3/images/93239abbb822487fae22b146b2195aa1,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Pedestal cracked or damaged, Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/e024d19a180f4911bc0884cc35b2ef7c,"Pump loose at the point of attachment, Damage to pump head or handle",NA,https://api.mwater.co/v3/images/92fea836314c40f4af10db3b6c337100,Significant sideways movement on handle (loose/wobbly),59.45,2,Absent,1385,?S / cm,0.7,7.34,0.8,0.6,0.7,0,0,ppb,5,NTU,28.7,C,6/13/2019 11:33,Community have agreed to cement round the base of the pedestal to cover the holes if we rehabilitate the rest of the handpump.,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/68ca19474f1640fd8f25db8aa87fdad1
09/02/2020,N jete(likhonyowera )borehole  01,-15.975199,35.3140382,800,https://api.mwater.co/v3/images/11ccfa64cfb04294ad0a1b64d4ca64c1; https://api.mwater.co/v3/images/32f985a4ae5447e0a29b99951c7d41e8,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/eaae3dc44d5b415aad2cbcefbf68b126,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) at all times",69.511,3,Absent,2335,?S / cm,1.2,7.6,0.4,1.8,4,0,5,ppb,5,NTU,26.8,C,6/12/2019 13:33,Ammonia results 1.8,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/bda52a30e64c4ec2ad7855be667be0e8
04/07/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,1800,https://api.mwater.co/v3/images/1db2d27b12f946989e2264fcef4fee98; https://api.mwater.co/v3/images/3b5b39b1c1ff49d0a4231aa32725af3f,No,NA,"Lack of any fresh debris, mud, or water lines, Local report not seeing the water point submerged",Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) at all times,49.17,1,Absent,1451,?S / cm,0.75,7.1,0.1,0.6,0.1,0,0,ppb,5,NTU,26.4,C,6/13/2019 10:26,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/5f4bfa549471471aa32fdf7f04be30e9
26/11/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,500,https://api.mwater.co/v3/images/56cfc105a9364c59a6bd959d9fb42048; https://api.mwater.co/v3/images/3503da4d7a0f42faa8cabd77461a3776,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/98e68a9675cc4270855845e27ce5aa55,NA,NA,NA,"Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",89.862,3,Absent,2231,?S / cm,1.1,7.6,1,3.6,8,0,5,ppb,5,NTU,25.4,C,6/12/2019 14:15,NA,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/9af99c4c97fb44478937efc08c0d51cc
09/02/2020,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,400,https://api.mwater.co/v3/images/369d2b456c8b4c9ca378452017c6f0f4; https://api.mwater.co/v3/images/c009d89ef8934c759c13fa832353ffe8; https://api.mwater.co/v3/images/8d8307a2a6c44fb181ab5c27d58777ee,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/73d2c9166aa84cac8296e77afd4f6cc4,Damage to pump head or handle,NA,https://api.mwater.co/v3/images/8d36a08a36da4899abe04f0f15cdb509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/2019,Kumwanje(ngakusa),-15.9716147,35.3299877,1500,https://api.mwater.co/v3/images/ad9754d05ba94ae3966d3517a13f15e8,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/17fec7819fc84422b1e1f705c65c743b,NA,NA,NA,Significant friction (very stiff) on down stroke,95.778,1,Absent,521,?S / cm,0.27,7,0.2,0.3,1.4,0,5,ppb,10,NTU,27.8,C,6/13/2019 9:04,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/74d153f8e6e44f84ad5a9a82a1954d21
28/06/2019,Kumwanje borehole  03,-15.9583083,35.3269233,310,https://api.mwater.co/v3/images/dab9fd5e039b43d6bc1d875e07caff0e,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,52.429,1,Absent,240.8,?S / cm,0.11,6.9,0.1,0.6,1.2,0,5,ppb,10,NTU,25.7,C,6/13/2019 10:43,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/7bf6f7caeeda46e686a038046b12625b
26/11/2019,Kumwanje borehole  03,-15.9583083,35.3269233,1500,https://api.mwater.co/v3/images/bbcda3e3c42c45708ad004f54e572f0a; https://api.mwater.co/v3/images/93b1c1ee73054abea4f231d433ce557f,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/9e7e4fe319af4f0494e92996666b7d2d,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",74.456,2,Absent,3230,?S / cm,1.71,7.2,2,1.8,0.5,0,5,ppb,5,NTU,27.1,C,6/13/2019 12:04,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/c38954ce1cd14673bc57f1fe867b73c7
07/02/2020,Kumwanje borehole  03,-15.9583083,35.3269233,750,https://api.mwater.co/v3/images/24efcb4b78704863bf0cb0524b4c1014; https://api.mwater.co/v3/images/5d49a847231344e7b2169361fc3f46c3,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/c82f83daf6794d488db3bd64aa315437,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",65.663,2,Absent,2275,?S / cm,1.28,7.1,1,1.8,0.55,0,5,ppb,5,NTU,28.4,C,6/13/2019 9:52,Most water pots around TA Ndanga have high ammonia content,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/cbc8f9e086984666ab69cb69ea79dfd2
30/06/2019,Kumwanje borehole 04,-15.95839954,35.33050776,675,https://api.mwater.co/v3/images/ba0a9d40de394752a8c99e76664a08eb; https://api.mwater.co/v3/images/04a72ed98eb644db832ff15aebb4b4f3,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,69.531,1,Absent,3358,?S / cm,1.76,7.3,0.4,2.5,2.4,0,5,ppb,5,NTU,25.8,C,6/13/2019 14:33,The borehole is close to mosque pit latrines as well as near by house. On top of that the water flooded the borehole during rainy season,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/f8c1d2b148a3477d9aee581ac05838be
01/12/2019,Kumwanje borehole 04,-15.95839954,35.33050776,1350,https://api.mwater.co/v3/images/f2e6dd2f6cee4b80b42bf8e25c36e193; https://api.mwater.co/v3/images/b750b6a1c0d84f8bb92e45f0b020c47e; https://api.mwater.co/v3/images/37307b4564304090b8ff7bb93fa02c2d,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Leakage from pump/ pedestal, Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/59e10d064f0641ac9c00113db9068c80,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",90.522,2,Absent,1598,?S / cm,0.8,7.4,0.6,2.1,1.6,0,5,ppb,5,NTU,26.9,C,6/13/2019 13:08,The borehole is less than 100m form staff as well as students toilets and nearby garden does applied fertilizer frequently,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/d75c3f0e7a754e3192733294729f92e5
07/02/2020,Kumwanje borehole 04,-15.95839954,35.33050776,1540,https://api.mwater.co/v3/images/e038bee630014733b5eb8a750a1df567; https://api.mwater.co/v3/images/8402700c69974d349da7d394308b41bb; https://api.mwater.co/v3/images/bca78993473b4b42bb6ed5f25b3ecfd8; https://api.mwater.co/v3/images/668640e21f6d47ad820c714f274de96e,Yes,Local report seeing the water point submerged,NA,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,60.472,1,Absent,1955,?S / cm,1,7.8,2.8,0.4,0.2,0,5,ppb,5,NTU,25.8,C,6/13/2019 11:30,The borehole is in good condition but the water is salty. Ammonia level is relatively low compared to other boreholes around the community.,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/80c184c4db744952b1597f13254e2cb3
29/11/2019,Kumwanje borehole 05,-15.955305,35.33147,450,https://api.mwater.co/v3/images/13a149977ea344ed8f34e7703c656491; https://api.mwater.co/v3/images/b0926c300c254845b166811ba3864385,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Soil erosion or collapse around the water point, Damage or problem with pump",NA,NA,NA,NA,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/6581f0aeddb5491d8c3597606ebac288,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",74.1,3,Absent,928,?S / cm,0.46,7.2,0.2,0.3,1.2,NA,5,ppb,5,NTU,27.1,C,6/13/2019 13:41,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/291fcbdd1889492f9398b8bcdb9ce4f9
07/02/2020,Kumwanje borehole 05,-15.955305,35.33147,2500,https://api.mwater.co/v3/images/8c0fa228f59f4e899b3c87c81a721dcc; https://api.mwater.co/v3/images/3c989f55836f45b29d326e9da47cccec,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",53.644,2,Absent,1665,?S / cm,0.85,7.2,0.4,0.1577,4,NA,5,ppb,5,NTU,28.3,C,6/13/2019 12:31,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/d47073a1e4614f28851242ad0ecd1904
28/06/2019,Kumwanje borehole 06,-15.9544383,35.3335267,301,https://api.mwater.co/v3/images/3ee5c523007641ed94ee3e6ab1274a76; https://api.mwater.co/v3/images/038fd714d41542ff88aae576228989a9,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,No,"Damage to civil works - platform, well head, riser etc",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/1be3c397f6d54222b507b8fa765828f2,NA,NA,NA,"Significant friction (very stiff) on down stroke, Can only be moved with extreme force",NA,NA,Absent,150.4,?S / cm,0.08,6.7,0.6,0.07,1.2,0,5,ppb,5,NTU,22.1,C,6/14/2019 9:50,The bolehole is functioning just needed minor changes,Point of collection,6/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/63323c1adaab4243bb0cba4b26331b40
